scalar,stratum,n_conformer_pairs,n_unique_molecule_pairs,mean_pairwise_abs_diff,mean_pearson,min_pearson,max_pearson,mean_spearman,min_spearman,max_spearman,cv_median,cv_q95,cv_undefined_abs_mean_le_1e8,source_pairwise,source_cv
atom_set_similarity,all,10,316625,0.017902021504803883,0.9009425121374672,0.8993870672470805,0.9022360835087624,0.9012063888413053,0.9004780649205983,0.9017878552441839,0.014450493742643929,0.045402299081998214,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
atom_set_similarity,flexible_ge5,10,183269,0.020887212998610665,0.8707560847522915,0.8683267702532874,0.8725503894677488,0.8721260644680221,0.8709851879370553,0.8729297998924775,0.017259745012798252,0.0488293539084109,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
atom_set_similarity,intermediate_1_4,10,130258,0.013919721295249373,0.9352830398519119,0.9338632686624051,0.9369177272029535,0.9363409714089064,0.9355981382818233,0.9372875343061479,0.010773575625743749,0.03810814232209191,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
atom_set_similarity,rigid_zero,10,3098,0.00874559826970947,0.945937488803249,0.9379056677689499,0.9534031251924461,0.9380657306714204,0.9300520825008515,0.946099513746729,0.0029770291026697095,0.037853222050161804,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
cosine_reaction_vec,all,10,316625,0.04209293033061323,0.9185104693681432,0.9174178721288895,0.9191515869735535,0.9222526956940275,0.9210761517072282,0.9228431685592527,0.13191836555087222,2.0646006047948764,3,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
cosine_reaction_vec,flexible_ge5,10,183269,0.04984869380797463,0.8916808322741148,0.890210696675512,0.8929509118002573,0.8985404204685405,0.8970351136485731,0.8993969456667935,0.16146668162057584,2.619329442701182,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
cosine_reaction_vec,intermediate_1_4,10,130258,0.031703366757658606,0.9510820064992677,0.9500786501303039,0.9516264791402189,0.9516934440496536,0.9508665625852223,0.9521828969639021,0.0964617728753319,1.3547763929650598,3,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
cosine_reaction_vec,rigid_zero,10,3098,0.020121579508591773,0.9584610048848485,0.9536134189020007,0.9632997382801959,0.958256905950998,0.9525522539238261,0.9646702001367554,0.02513318932284568,0.596566069730065,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
reaction_distance,all,10,316625,0.1944247144742318,0.9554842967458154,0.9540738914851183,0.9566606285618549,0.9603408677384611,0.9595935374457776,0.9610387083587048,0.03867265785948152,0.21382680244814767,3,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
reaction_distance,flexible_ge5,10,183269,0.23034374534522079,0.9409915339486172,0.9391815077909925,0.9425639211835078,0.9471413968499715,0.9459874868565137,0.9481156456010968,0.049078184384016815,0.2360119556101566,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
reaction_distance,intermediate_1_4,10,130258,0.14624509765043014,0.971732725293203,0.9695350088874825,0.9734868163419408,0.9765596983879181,0.9757510985693385,0.9771063826536835,0.026432208327650444,0.17329425977571586,3,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
reaction_distance,rigid_zero,10,3098,0.09530775499697883,0.9789765548269432,0.9732258119819277,0.9833343989875406,0.9760077059092758,0.9696762931272632,0.9820201442821239,0.009562278216421595,0.15727978067510673,0,outputs/jcheminform_revision/conformer_aggregate/b1_pairwise_stability.csv,outputs/jcheminform_revision/conformer_aggregate/b1_cv_summary.csv
