pool,coverage_count,coverage_total,coverage,prior_top1_within_pool,headroom,observed_augmented_minus_baseline_top1,capture_rate,common_covered_count
historical_cap10,3985,5004,0.7963629096722622,0.7415307402760352,0.25846925972396484,0.006700125470514429,0.02592233009708738,3814
aizynthfinder_only,4012,5004,0.8017585931254996,0.7365403788634097,0.26345962113659027,0.00022432701894316563,0.0008514664143803031,3814
localretro_only,4462,5004,0.8916866506794564,0.5777678171223667,0.4222321828776333,-0.00011205737337516286,-0.00026539278131633583,3814
merged,4584,5004,0.9160671462829736,0.612783595113438,0.38721640488656195,-0.0035885689354275664,-0.009267605633802797,3814
