pool,scope,n_reactions,top1,top3,top5,top10,mrr
historical_cap10,own_covered,3985,0.7415307402760352,0.922961104140527,0.9686323713927227,1.0,0.8395585628647109
historical_cap10,common_four_pool_covered,3814,0.7454116413214473,0.9281594126900892,0.9719454640797064,1.0,0.8432194255083612
aizynthfinder_only,own_covered,4012,0.7365403788634097,0.9167497507477568,0.9621136590229312,1.0,0.8346561505958315
aizynthfinder_only,common_four_pool_covered,3814,0.7454116413214473,0.9281594126900892,0.9719454640797064,1.0,0.8432194255083612
localretro_only,own_covered,4462,0.5777678171223667,0.8478260869565217,0.9273868220528911,1.0,0.7267313753530698
localretro_only,common_four_pool_covered,3814,0.6001573151546933,0.8662821185107499,0.940744625065548,1.0,0.7450548730241965
merged,own_covered,4584,0.612783595113438,0.8911431064572426,0.9528795811518325,1.0,0.7619775651680101
merged,common_four_pool_covered,3814,0.6811746198217095,0.9284216046145779,0.9766649187205034,1.0,0.8109339234732521
