pool,metric,covered,total,coverage_at_10,effect,product_cluster_ci95_low,product_cluster_ci95_high,seed_marginal_ci95_low,seed_marginal_ci95_high,n_product_clusters,n_seeds
aizynthfinder_only,top1,4012,5004,0.8017585931254996,0.00022432701894317043,-0.0018818544366899304,0.002405284147557328,-0.002031405782652044,0.0025548354935194416,4012,20
aizynthfinder_only,mrr,4012,5004,0.8017585931254996,0.0006990239598664325,-0.0006211836959360017,0.002042631900924211,-0.0006573655768804698,0.0020356722491256386,4012,20
localretro_only,top1,4462,5004,0.8916866506794564,-0.00011205737337516809,-0.00041461228148812195,6.723442402510087e-05,-0.00043702375616315556,8.964589870013447e-05,4462,20
localretro_only,mrr,4462,5004,0.8916866506794564,-6.10623750471353e-05,-0.0002384451950509773,9.170684279239851e-05,-0.00026240057131473536,0.00010773393755380526,4462,20
merged,top1,4584,5004,0.9160671462829736,-0.0035885689354275747,-0.01047147687609075,0.0033376963350785333,-0.010852966841186737,0.00374154668411867,4584,20
merged,mrr,4584,5004,0.9160671462829736,-0.0015721782459347906,-0.004901594075493781,0.0019094278927394093,-0.0052115526702609495,0.002046492912719188,4584,20
