metric,contrast,effect,bootstrap_ci95_low,bootstrap_ci95_high,permutation_p_two_sided,permutations,bootstrap_samples
top1,"4-6 minus pooled 2-3,7-9,10",0.010811865288489812,-0.003321435437540995,0.025607895302286656,0.19552804471955282,100000,10000
mrr,"4-6 minus pooled 2-3,7-9,10",0.005306531979569321,-0.002296306475794126,0.013565752461748123,0.25042749572504275,100000,10000
