metric,scope,n_reactions,between_bin_statistic,permutation_p_two_sided,permutations
top1,all_five_bins,3985,0.10747207369017284,0.4413755862441376,100000
top1,non_singleton_bins,3895,0.10333846611491065,0.32300676993230065,100000
mrr,all_five_bins,3985,0.02370020580482311,0.6148738512614874,100000
mrr,non_singleton_bins,3895,0.021537586149909884,0.5030249697503025,100000
