metric,contrast,effect,permutation_p_two_sided,permutations,holm_p_within_metric
top1,4-6 minus 2-3,0.010835776443761927,0.37011629883701164,100000,0.7402325976740233
top1,4-6 minus 7-9,0.013656657669815567,0.06478935210647893,100000,0.1943680563194368
top1,4-6 minus 10,0.005049061085414858,0.6564034359656403,100000,0.7402325976740233
mrr,4-6 minus 2-3,0.006861882823770301,0.2840171598284017,100000,0.5680343196568034
mrr,4-6 minus 7-9,0.006392996937678955,0.12600873991260086,100000,0.3780262197378026
mrr,4-6 minus 10,0.0028534904084280104,0.6435235647643524,100000,0.6435235647643524
