pool,n_reactions,mean_transfer_delta_top1,mean_transfer_delta_mrr
aizynthfinder_only,3814,-0.007105401153644468,-0.004659062060412349
localretro_only,3814,-0.0071971683272155215,-0.005338893466843127
merged,3814,-0.016098584163607762,-0.009769661273004219
