pool,n_reactions,candidate_count_defined_n,candidate_count_mean,candidate_count_median,jaccard_vs_historical_defined_n,jaccard_vs_historical_mean,jaccard_vs_historical_median,shared_candidate_count_defined_n,shared_candidate_count_mean,shared_candidate_count_median,kendall_order_vs_historical_defined_n,kendall_order_vs_historical_mean,kendall_order_vs_historical_median,normalized_stored_prior_mass_entropy_defined_n,normalized_stored_prior_mass_entropy_mean,normalized_stored_prior_mass_entropy_median,mean_pairwise_morgan_distance_defined_n,mean_pairwise_morgan_distance_mean,mean_pairwise_morgan_distance_median,max_nonreference_similarity_to_truth_defined_n,max_nonreference_similarity_to_truth_mean,max_nonreference_similarity_to_truth_median,mean_delta_top1,mean_delta_mrr
historical_cap10,3814,3814,7.867330886208705,8.0,3814,1.0,1.0,3814,7.867330886208705,8.0,3727,1.0,0.9999999999999999,3727,0.3921712682070253,0.3855694960406089,3727,0.46256430566303486,0.45668040335988624,3727,0.7214699205611483,0.7659574468085106,0.007039853172522287,0.005241648354849718
aizynthfinder_only,3814,3814,8.945464079706346,10.0,3814,0.8904419598638266,0.9,3814,7.867330886208705,8.0,3727,1.0,0.9999999999999999,3727,0.9256708817666716,0.9833662922325805,3727,0.4671856676658769,0.46173859131337514,3727,0.727999937709817,0.7714285714285715,-6.554798112218148e-05,0.0005825862944373692
localretro_only,3814,3814,9.99580492920818,10.0,3814,0.31978977221709715,0.3076923076923077,3814,4.223911903513372,4.0,3501,0.4885252739580074,0.6,3814,0.9982416103784721,0.9989583308233024,3814,0.4438033903461385,0.4328028014325581,3814,0.7699122689357476,0.8064516129032258,-0.00015731515469323548,-9.724511199340776e-05
merged,3814,3814,9.999475616151022,10.0,3814,0.40229725404217986,0.38461538461538464,3814,5.046670162558994,5.0,3586,0.5932980107826733,0.6,3814,0.9988173263130992,0.9990520360375403,3814,0.4518443806371086,0.44162015776691343,3814,0.7720598384294782,0.8064516129032258,-0.009058730991085473,-0.004528012918154502
