pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q3,937,0.7659574468085106,0.8360655737704918,0.008575113076180313
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q4,928,0.8363636363636363,1.0,0.006374991447728517
aizynthfinder_only,candidate_count,mean_20seed_delta_top1,Q1,913,1.0,9.0,0.0001642935377875137
aizynthfinder_only,candidate_count,mean_20seed_delta_top1,Q3,2901,10.0,10.0,-0.00013788348845225802
aizynthfinder_only,candidate_count,mean_20seed_delta_mrr,Q1,913,1.0,9.0,0.000479450268606895
aizynthfinder_only,candidate_count,mean_20seed_delta_mrr,Q3,2901,10.0,10.0,0.000615045167785602
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_top1,Q1,1259,0.375,0.8,-0.00210484511517077
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_top1,Q2,810,0.8333333333333334,0.9,0.0006790123456790122
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_top1,Q4,1745,1.0,1.0,0.0010601719197707736
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q1,1259,0.375,0.8,-0.00017453698450521342
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q2,810,0.8333333333333334,0.9,0.0006906231628453851
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q4,1745,1.0,1.0,0.0010786942284076956
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_top1,Q1,733,1.0,6.0,-0.0020463847203274215
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_top1,Q2,1279,7.0,8.0,-0.0007818608287724785
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_top1,Q3,797,9.0,9.0,0.0006900878293601003
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_top1,Q4,1005,10.0,10.0,0.001691542288557214
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_mrr,Q1,733,1.0,6.0,-0.0013601961930747742
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_mrr,Q2,1279,7.0,8.0,0.0010169930625364557
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_mrr,Q3,797,9.0,9.0,0.000498595925195674
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_mrr,Q4,1005,10.0,10.0,0.001513326226012793
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q1,762,0.9999999999999998,0.9999999999999998,-0.0011811023622047246
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q2,1386,0.9999999999999999,0.9999999999999999,0.00014430014430014427
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q4,1579,1.0,1.0,0.00028499050031665615
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q1,762,0.9999999999999998,0.9999999999999998,0.0019775132275132268
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q2,1386,0.9999999999999999,0.9999999999999999,0.0002487030165601593
