pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
localretro_only,candidate_count_shift_vs_historical,transfer_delta_mrr,Q2,797,1.0,1.0,-0.00186941108522037
localretro_only,candidate_count_shift_vs_historical,transfer_delta_mrr,Q3,1279,2.0,3.0,-0.005508473261600704
localretro_only,candidate_count_shift_vs_historical,transfer_delta_mrr,Q4,733,4.0,9.0,-0.007267291409515147
localretro_only,jaccard_vs_historical,transfer_delta_top1,Q1,1027,0.05263157894736842,0.2,-0.002629016553067188
localretro_only,jaccard_vs_historical,transfer_delta_top1,Q2,830,0.21428571428571427,0.3,-0.011566265060240964
localretro_only,jaccard_vs_historical,transfer_delta_top1,Q3,968,0.3076923076923077,0.4166666666666667,-0.003357438016528925
localretro_only,jaccard_vs_historical,transfer_delta_top1,Q4,989,0.42857142857142855,0.9,-0.012032355915065721
localretro_only,jaccard_vs_historical,transfer_delta_mrr,Q1,1027,0.05263157894736842,0.2,-0.003800714053878611
localretro_only,jaccard_vs_historical,transfer_delta_mrr,Q2,830,0.21428571428571427,0.3,-0.007140825205584241
localretro_only,jaccard_vs_historical,transfer_delta_mrr,Q3,968,0.3076923076923077,0.4166666666666667,-0.003352949134199133
localretro_only,jaccard_vs_historical,transfer_delta_mrr,Q4,989,0.42857142857142855,0.9,-0.007367711493090663
localretro_only,shared_candidate_count,transfer_delta_top1,Q1,674,1.0,2.0,-0.0008160237388724036
localretro_only,shared_candidate_count,transfer_delta_top1,Q2,1431,3.0,4.0,-0.010377358490566037
localretro_only,shared_candidate_count,transfer_delta_top1,Q3,783,5.0,5.0,-0.003128991060025543
localretro_only,shared_candidate_count,transfer_delta_top1,Q4,926,6.0,9.0,-0.01036717062634989
localretro_only,shared_candidate_count,transfer_delta_mrr,Q1,674,1.0,2.0,-0.002219013470868071
localretro_only,shared_candidate_count,transfer_delta_mrr,Q2,1431,3.0,4.0,-0.0068784178008496665
localretro_only,shared_candidate_count,transfer_delta_mrr,Q3,783,5.0,5.0,-0.0040015254718319855
localretro_only,shared_candidate_count,transfer_delta_mrr,Q4,926,6.0,9.0,-0.006361462511570503
localretro_only,kendall_order_vs_historical,transfer_delta_top1,Q1,877,-1.0,0.3333333333333333,-0.013055872291904217
localretro_only,kendall_order_vs_historical,transfer_delta_top1,Q2,839,0.33333333333333337,0.5714285714285714,-0.010846245530393326
localretro_only,kendall_order_vs_historical,transfer_delta_top1,Q3,898,0.6,0.8095238095238096,-0.0060133630289532294
localretro_only,kendall_order_vs_historical,transfer_delta_top1,Q4,887,0.8666666666666666,1.0,-0.00033821871476888367
localretro_only,kendall_order_vs_historical,transfer_delta_mrr,Q1,877,-1.0,0.3333333333333333,-0.010229995837179416
localretro_only,kendall_order_vs_historical,transfer_delta_mrr,Q2,839,0.33333333333333337,0.5714285714285714,-0.007098539455512042
localretro_only,kendall_order_vs_historical,transfer_delta_mrr,Q3,898,0.6,0.8095238095238096,-0.004146759111959558
