scope,seed,list_count,singleton_count,non_singleton_count,spearman_defined_count,spearman_undefined_count,spearman_positive_count,spearman_zero_count,spearman_negative_count,score_sd_n,score_sd_mean,score_sd_std,score_sd_min,score_sd_q25,score_sd_median,score_sd_q75,score_sd_max,score_range_n,score_range_mean,score_range_std,score_range_min,score_range_q25,score_range_median,score_range_q75,score_range_max,spearman_n,spearman_mean,spearman_std,spearman_min,spearman_q25,spearman_median,spearman_q75,spearman_max
seed,0,3985,90,3895,3895,90,3434,31,430,3985,6.301401100556923,2.9065388360860123,0.0,4.257468491150739,6.049111941379906,8.092877772376346,19.23977941274643,3985,19.58146762583157,8.849630169212693,0.0,13.215894341468811,19.08291983604431,25.375425457954407,51.26149129867554,3895,0.4331172227750504,0.35894627700303844,-1.0,0.2121212121212121,0.49090909090909085,0.709090909090909,1.0
seed,20210423,3985,90,3895,3895,90,3413,31,451,3985,11.374483052538498,5.187986861675764,0.0,7.958655487457318,10.806533304685498,14.240993125547163,37.391604514057185,3985,35.52333212724444,15.732412755842832,0.0,24.893849849700928,34.404930114746094,45.09379768371582,117.47119522094727,3895,0.426705402556679,0.3562817431676817,-1.0,0.2121212121212121,0.4761904761904762,0.7,1.0
seed,77777777,3985,90,3895,3895,90,3417,30,448,3985,6.401006641704514,3.11923877873163,0.0,4.174756992310451,6.086662093162438,8.351968262286231,20.650154408081054,3985,19.788292010874493,9.37974144959991,0.0,13.032890796661377,19.12036645412445,25.844095945358276,64.51697134971619,3895,0.434656850633494,0.3583781661304125,-1.0,0.21428571428571433,0.48333333333333334,0.7142857142857144,1.0
pooled_seed_reaction_pairs,pooled,11955,270,11685,11685,270,10264,92,1329,11955,8.025630264933312,4.5431270201198775,0.0,4.899782019608026,7.27491737725973,10.238119871189397,37.391604514057185,11955,24.964363921316835,13.91717664659033,0.0,15.29172158241272,22.763005256652832,32.109620809555054,117.47119522094727,11685,0.4314931586550745,0.35788712810400586,-1.0,0.2142857142857143,0.48333333333333334,0.709090909090909,1.0
